Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-17 13:52:59.886253+1000 0x87       Default     0x0                  0      0    kernel: Started cpu 8 (lapic id 00000020)
2025-07-17 13:52:59.893820+1000 0x88       Default     0x0                  0      0    kernel: Started cpu 9 (lapic id 00000021)
2025-07-17 13:52:59.901317+1000 0x89       Default     0x0                  0      0    kernel: Started cpu 10 (lapic id 00000028)
2025-07-17 13:52:59.908801+1000 0x8a       Default     0x0                  0      0    kernel: Started cpu 11 (lapic id 00000029)
2025-07-17 13:52:59.916294+1000 0x8b       Default     0x0                  0      0    kernel: Started cpu 12 (lapic id 00000030)
2025-07-17 13:52:59.923787+1000 0x8c       Default     0x0                  0      0    kernel: Started cpu 13 (lapic id 00000031)
2025-07-17 13:52:59.931390+1000 0x8d       Default     0x0                  0      0    kernel: Started cpu 14 (lapic id 00000038)
2025-07-17 13:52:59.938998+1000 0x8e       Default     0x0                  0      0    kernel: Started cpu 15 (lapic id 00000039)
2025-07-17 13:52:59.947079+1000 0x8f       Default     0x0                  0      0    kernel: Started cpu 16 (lapic id 00000048)
2025-07-17 13:52:59.955162+1000 0x90       Default     0x0                  0      0    kernel: Started cpu 17 (lapic id 0000004a)
2025-07-17 13:52:59.963232+1000 0x91       Default     0x0                  0      0    kernel: Started cpu 18 (lapic id 0000004c)
2025-07-17 13:52:59.971314+1000 0x92       Default     0x0                  0      0    kernel: Started cpu 19 (lapic id 0000004e)
2025-07-17 13:52:59.971359+1000 0x92       Default     0x0                  0      0    kernel: resume_cluster_powerdown_locked>calling sched_update_powered_cores to resume powerdown
2025-07-17 13:52:59.972465+1000 0xda       Default     0x0                  0      0    kernel: (AppleAPIC) IOAPIC: Version 0x20 Vectors 64:111
2025-07-17 13:53:00.465266+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: acc-cache size = 48 (default).
2025-07-17 13:53:00.478319+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: acc-cache expiration = 2592000 (default).
2025-07-17 13:53:00.491923+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: TRMAccCache_SetupEmpty: called, cacheSize=48 expiration=2592000.
2025-07-17 13:53:00.504149+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: init: called, starting TRM service.
2025-07-17 13:53:00.514608+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromBootArg: trm_default = 0xffffffff <--- not found.
2025-07-17 13:53:00.526595+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromBootArg: trm_enabled = 0xffffffff <--- not found.
2025-07-17 13:53:00.538206+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromEDTProp: /defaults/trm-enabled = 0xffffffff <--- not found.
2025-07-17 13:53:00.550445+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromBootArg: trm_unification = 0xffffffff <--- not found.
2025-07-17 13:53:00.562294+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromBootArg: trm_all_policy_modes = 0xffffffff <--- not found.
2025-07-17 13:53:00.574435+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromBootArg: trm_base_system = 0xffffffff <--- not found.
2025-07-17 13:53:00.586348+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromBootArg: hidrm_default = 0xffffffff <--- not found.
2025-07-17 13:53:00.597910+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromBootArg: hidrm_enabled = 0xffffffff <--- not found.
2025-07-17 13:53:00.609341+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromEDTProp: /defaults/hidrm-enabled = 0xffffffff <--- not found.
